id,sender_id,receiver_id,amount,start_time
139,1656,1487,99259,126098
140,4505,5532,98597,126156
141,5284,3054,98534,127446
142,4796,1819,99897,127473
143,1223,3564,99607,128172
144,4503,4730,100924,128950
145,1318,5762,100800,129248
146,194,3388,99289,129873
147,2234,5690,98252,131058
148,489,2744,98080,131173
149,4900,3806,101546,131786
150,4601,4418,100673,133655
151,1666,2575,100444,134723
152,3762,67,100436,134804
153,3624,110,99534,135680
154,2754,3444,99700,135708
155,5757,4533,99974,136197
156,4486,5022,100353,136794
157,3515,2871,99690,136884
158,4823,5954,101366,139234
159,5972,222,101189,139272
160,754,4318,101523,139282
161,3656,3234,100228,141490
162,4780,3066,100237,141647
163,467,947,98803,143465
164,3738,4180,100120,148065
165,5172,4271,100861,148372
166,5461,6004,101411,148659
167,3838,1041,98956,150860
168,4880,5252,100130,151166
169,3890,4919,98292,151496
170,5900,5955,100827,152258
171,3012,1888,100200,152390
172,2201,5531,99428,153108
173,1373,5638,101094,153770
174,5351,3904,98074,154164
175,5326,5162,100148,154888
176,4145,1604,101023,155877
177,2990,1742,100178,156105
178,1870,4922,101243,158586
179,3139,2561,99507,161561
180,2229,357,100116,163421
181,2275,5526,98757,163557
182,525,2442,99351,163934
183,907,1049,100312,164041
184,2484,5724,99578,164245
185,2639,4215,99519,166359
186,3448,2873,98882,166417
187,1654,1374,100147,166566
188,2986,4676,98677,166758
189,3504,3427,102229,166927
190,5861,1827,100218,167832
191,3765,194,99474,168047
192,392,410,101025,168517
193,1921,5857,98851,171622
194,5842,2497,99310,173360
195,997,3799,101498,173417
196,2864,1973,101220,174094
197,1257,4384,99098,174673
198,2747,3685,99590,174683
199,672,4554,98876,179788
200,5912,995,99801,180201
201,3816,3146,99758,182242
202,749,838,101968,183362
203,5231,4625,99104,183867
204,137,5182,100759,185527
205,2707,75,101070,186927
206,2698,3470,101124,186932
207,628,2909,100882,187762
208,4987,3739,99414,188881
209,4882,3474,99164,189430
210,3366,4838,100547,189864
211,1486,5140,100821,190151
212,1739,3698,99256,190709
213,3148,4851,98473,190745
214,1283,5066,99712,191114
215,5864,4403,99532,191315
216,1285,3251,99360,191468
217,2962,2264,100234,192546
218,4803,4144,100743,192778
219,3614,5509,101296,193507
220,3326,417,99744,195307
221,2911,2614,100691,195413
222,4240,169,99239,195547
223,2257,5862,99422,196069
224,1216,5615,101176,196586
225,2681,881,101197,197007
226,1133,285,99267,198410
227,5424,1265,100249,200086
228,4498,5767,98596,200995
229,5575,1774,100500,201074
230,2555,5558,99347,201131
231,4750,5016,99249,201758
232,2372,494,99048,201841
233,457,5433,99726,203117
234,3187,2688,102730,203258
235,1210,1239,99621,205137
236,3050,3414,100657,205578
237,5407,649,100189,206495
238,640,4708,101784,206540
239,5525,4727,102088,207417
240,4444,2322,99541,208217
241,2698,1301,101574,210087
242,4341,4899,99445,212067
243,5898,118,100692,213286
244,2421,3898,99253,214548
245,4471,5929,100645,214807
246,4377,4993,102821,216034
247,196,4687,99360,216584
248,4626,1063,100832,217533
249,3589,2413,100947,217596
250,18,4233,99364,219863
251,4343,1437,98955,219962
252,1323,2140,100551,222107
253,1073,3262,99386,222331
254,830,733,100883,223282
255,5705,1946,99948,223906
256,2667,418,100339,224461
257,3595,2076,101339,224764
258,1330,1881,100908,225141
259,2432,3764,100680,225940
260,2688,2703,99807,226550
261,620,3941,99815,226690
262,5461,963,100984,228145
263,5928,3031,99996,228626
264,5062,2896,100198,229477
265,4881,5662,100036,229568
266,1167,771,100467,229857
267,5783,4208,101400,232798
268,5698,5146,101468,234618
269,1081,47,99208,234682
270,1934,2637,99785,235261
271,3528,1536,100320,236214
272,2870,3197,100106,238842
273,4468,5381,99898,239122
274,5145,3931,101827,240272
275,408,2390,100123,241040
276,1138,5362,99031,241149
277,3374,866,101026,241315
278,3390,15,98489,242884
279,5434,4178,99271,243040
280,3890,3913,99692,243428
281,1867,1036,99892,245923
282,1449,5096,100672,249620
283,581,1923,101809,250364
284,2252,1693,99567,251330
285,2744,1513,101299,252639
286,2600,36,101253,253039
287,187,4188,99903,253336
288,4854,3554,99481,254121
289,5171,2930,100740,255784
290,1107,5604,98499,258068
291,3330,2679,100791,258716
292,1675,2701,100634,259863
293,2342,1370,99475,260429
294,5636,1766,100542,261941
295,4568,1049,99732,263417
296,868,3392,99183,264618
297,2556,4135,99161,264651
298,4158,2895,100123,265203
299,3228,2233,99560,266219
300,346,1418,98964,267447
301,2334,3685,102204,267628
302,1020,3344,100339,268349
303,818,5257,99366,272380
304,2779,5660,98129,273067
305,4162,970,98758,274827
306,1572,5084,100189,276438
307,4043,2562,102482,276446
308,873,4276,102531,276798
309,1144,5163,100405,278478
310,3804,4331,99719,282788
311,5902,5695,101615,282789
312,911,2828,100601,283622
313,3371,2814,99867,284674
314,3599,381,99541,286064
315,2953,3479,100737,286446
316,388,2932,101530,286559
317,609,3745,99431,288939
318,1709,3863,100178,290154
319,1351,4014,99793,290249
320,1130,23,99483,291835
321,4594,2930,101469,292527
322,171,525,99454,292787
323,55,2605,99920,292948
324,2821,3601,99942,293401
325,4431,4651,100799,295938
326,5340,4049,98771,296219
327,2619,5471,99397,299784
328,5710,15,99283,300256
329,5084,5976,100099,301309
330,186,4895,99434,302305
331,1983,5891,99314,304049
332,4255,2133,99312,304731
333,2855,3174,99466,305188
334,2218,4438,99874,306485
335,428,2864,99389,307426
336,5321,4218,101090,307952
337,33,1614,99573,309334
338,2511,5185,99237,310034
339,2632,5801,99126,310288
340,4042,886,99855,311789
341,4601,862,99634,311994
342,4786,4579,99482,313454
343,2043,1743,98679,314624
344,100,2330,98483,315103
345,5671,3960,99559,315981
346,916,2549,99796,317035
347,4569,2418,99591,317760
348,3350,1749,100097,317800
349,4488,422,99811,318156
350,2097,5157,99816,318828
351,4764,3241,100963,319124
352,2682,574,99145,319443
353,2381,1972,100327,319825
354,1322,2976,100876,319979
355,5954,565,99770,320234
356,2318,2152,98900,320980
357,4713,456,100917,321043
358,5712,4348,99475,321376
359,2935,3170,99014,322158
360,3331,1500,99313,323263
361,5652,1957,99971,323914
362,5344,488,99525,325352
363,904,2819,98573,326443
364,249,5701,98848,326480
365,3053,4167,100363,326769
366,2585,3892,99388,327536
367,2117,239,99592,327579
368,1161,3806,101169,327632
369,4899,3634,100767,328875
370,3708,970,101980,330756
371,5233,2727,101031,331075
372,3941,5094,99447,334106
373,508,305,98470,334829
374,380,386,98728,336822
375,1738,490,96845,337342
376,754,5793,100151,339183
377,1045,260,99768,339621
378,1437,2416,100584,343251
379,4237,2071,98579,345926
380,1416,4967,100172,347078
381,1558,389,101095,348209
382,4212,3661,99922,349527
383,72,1522,102402,349836
384,4892,4169,100062,349975
385,4726,5059,101900,351176
386,3190,5026,100191,351525
387,5714,5241,99268,352913
388,386,3113,99353,354663
389,3752,5295,99802,354737
390,3594,2382,99305,355717
391,3072,5135,99414,357079
392,5307,2495,98183,357201
393,3870,1363,101107,358491
394,1438,5378,99689,358667
395,2833,5074,100320,360663
396,5787,1309,101211,361568
397,2471,3597,101733,362362
398,355,1788,100776,365322
399,3091,3211,99200,366358
400,4522,3969,99979,366755
401,2607,5511,100338,367806
402,5136,5485,99442,369535
403,4409,5282,98792,371916
404,738,507,99850,372496
405,3158,761,100135,376001
406,216,1407,100430,377553
407,3945,72,98640,379486
408,128,5591,99394,379833
409,3288,5579,100034,381752
410,2730,4332,100701,382058
411,2914,1833,99797,384253
412,1468,539,100451,385443
413,804,432,100430,387400
414,4522,2728,99697,388792
415,1854,480,98262,389973
416,2676,3839,98790,390568
417,2092,4230,100390,391291
418,4187,3650,98748,391454
419,5961,4569,100379,392722
420,5430,3888,100704,392916
421,3686,2348,99078,393684
422,4897,3889,98433,395111
423,2861,2568,99031,398277
424,2242,5049,99446,399192
425,4069,4137,99799,399420
426,529,995,99228,400039
427,3227,1192,101758,402066
428,4353,4810,100541,403920
429,1090,2573,100749,405448
430,3946,2644,101225,405672
431,2349,3180,99884,406345
432,5230,5244,101070,407494
433,3031,5400,101052,409376
434,1146,4509,99765,410475
435,752,2068,98806,410557
436,3816,5334,100376,411546
437,2201,5743,100159,413210
438,1188,5281,98861,413620
439,5157,5957,99507,414565
440,5962,5086,101376,414754
441,677,447,98225,416906
442,741,5745,99570,417440
443,1609,5951,99575,417551
444,2772,578,98102,419066
445,660,2926,98146,419459
446,1573,625,100239,419481
447,4066,4931,98735,419996
448,4118,5809,98847,423653
449,3032,737,99165,425414
450,5341,1462,99432,425783
451,847,4,99945,426191
452,873,2530,100650,428457
453,777,5243,100707,428760
454,2825,735,99180,429211
455,1346,1655,100383,433227
456,2324,4698,99770,433520
457,55,5315,97612,434027
458,1787,1199,99598,434238
459,697,709,100379,435345
460,4469,4140,98531,435623
461,2054,3743,100508,437265
462,1967,3309,99826,439389
463,5894,2762,101485,440593
464,1524,5213,100386,441153
465,1197,2294,98365,441978
466,476,3,100588,443331
467,803,3693,100990,447288
468,50,5330,100396,447987
469,349,1386,98813,448060
470,1111,2131,100483,452110
471,459,5487,98102,452586
472,4686,2498,102175,454281
473,3860,2905,101141,456473
474,4728,1586,98858,456928
475,1656,3629,100536,457214
476,2359,1103,100549,458777
477,5719,3874,99763,459770
478,4137,1607,99272,459916
479,1886,2706,98731,460006
480,1309,3407,100028,461176
481,1704,3596,101536,461874
482,3255,3319,99178,464541
483,4251,5180,99926,465701
484,1580,5640,99962,465970
485,3949,3967,99131,467435
486,1265,5857,97872,467545
487,5456,2335,101002,468216
488,2037,140,98065,468985
489,3804,2346,101205,469974
490,4074,2783,99131,470798
491,287,2150,102438,471881
492,5620,4272,101650,475772
493,3445,2648,101394,476006
494,225,938,98688,476011
495,5855,1664,100253,476127
496,4612,4271,100051,476923
497,4709,4810,101830,478406
498,5594,629,100057,478730
499,3038,5520,101077,481170
500,3602,2552,100503,483433
501,3774,5842,99730,483766
502,423,5849,99879,483780
503,700,5836,99799,484023
504,5055,2309,100457,484691
505,1739,2082,99089,485368
506,1524,400,100188,486661
507,4783,155,99988,486696
508,1689,4104,99574,487096
509,1069,4784,99519,487124
510,1849,602,97924,490159
511,2367,5333,100047,490751
512,2238,1995,100612,491359
513,1402,3634,101516,492673
514,2007,3617,99448,493421
515,4653,2505,98791,493869
516,5165,5497,100000,493928
517,1759,34,99719,494386
518,334,2446,99234,494826
519,5319,5727,99710,495028
520,1671,3507,96946,496059
521,5628,668,101504,496636
522,5116,4813,100543,497222
523,2398,610,99857,497322
524,5833,3277,99586,499701
525,3648,5348,100804,500878
526,937,4609,99699,501877
527,2153,1265,98043,505713
528,960,2816,98918,505800
529,5816,992,99476,506698
530,4150,4622,98180,508764
531,5166,1469,102318,509420
532,206,1211,102218,511409
533,751,5910,98860,511721
534,1344,990,99133,511767
535,1540,1671,101366,512798
536,1769,1669,99120,513690
537,2965,2285,100923,514355
538,2979,3262,98655,514693
539,1736,800,100567,515787
540,5633,5174,100427,518492
541,2139,5620,98170,519007
542,1649,5131,100505,519211
543,4389,2655,98810,519715
544,5689,1619,102905,523036
545,4339,3873,99985,524210
546,5811,1857,99752,525210
547,746,3975,99875,527691
548,356,5557,99268,528316
549,688,4845,99845,532917
550,1442,5897,100783,537510
551,550,1065,100959,537668
552,1387,3728,100394,540403
553,3004,5336,98704,541103
554,5692,3796,99681,541673
555,5553,2811,100387,542429
556,949,5048,100902,542444
557,1149,4051,101142,542674
558,1931,1911,99605,542954
559,5800,1755,99473,543368
560,5225,1983,100243,544519
561,5309,723,100137,545818
562,5448,2642,101046,545845
563,2205,4809,101028,547293
564,4021,1190,100484,549570
565,2009,2725,100186,551737
566,3039,1089,99776,552885
567,1254,3125,100300,553064
568,4954,989,99189,553260
569,5657,5825,101508,553804
570,1560,4976,99249,556910
571,1886,485,102359,557418
572,1348,4085,99351,558257
573,2835,4001,101083,558976
574,2460,5765,100034,559439
575,3860,4036,98658,559556
576,5379,5106,99288,560077
577,4066,4466,98750,561071
578,1888,1401,101468,563180
579,5545,1529,100622,564352
580,6,5252,101681,565422
581,997,5065,99242,565942
582,5142,4377,100924,568170
583,3249,166,100375,571144
584,3660,4137,101597,571329
585,2492,3903,98765,571978
586,1942,5256,101110,573030
587,3497,5081,101314,574051
588,3472,4310,98365,577450
589,3716,925,100827,579162
590,1867,2100,97954,580307
591,3317,1420,98999,581775
592,3053,3431,99326,582954
593,5684,714,99606,583290
594,5685,229,102010,583378
595,5006,1215,100936,585642
596,4239,1802,100478,586392
597,5030,3906,101185,586542
598,1390,1943,101411,586827
599,5987,5078,100076,587418
600,1982,2364,99772,587716
601,336,3909,99374,589627
602,1770,3714,100246,592482
603,3250,3684,98606,592799
604,5642,2963,99758,593036
605,3198,4985,99468,593136
606,3793,2313,98986,594492
607,1442,2343,100875,594866
608,3528,2184,100235,595004
609,3352,632,99609,596176
610,759,5067,99427,596216
611,3738,1450,101031,596659
612,5863,5140,100507,598263
613,2204,4868,101143,598309
614,2754,71,99580,601033
615,5688,3718,100327,601838
616,196,3138,99190,602671
617,3204,2957,99558,604801
618,1962,5786,100605,605048
619,4487,4802,100012,605335
620,499,5126,102319,606679
621,5577,3095,97522,606953
622,5923,2317,99977,609624
623,5226,2347,99053,610968
624,3718,5981,100056,612593
625,5727,1525,99367,613132
626,5500,2249,100918,615118
627,3622,2117,98993,615771
628,1770,2466,102365,617097
629,3655,3848,101473,617364
630,306,2327,99969,618166
631,2474,5789,98294,620023
632,3616,1304,99894,621011
633,1786,1805,100797,622652
634,419,2889,99886,622702
635,3104,903,99827,623142
636,5738,4276,99928,624184
637,3098,3168,99701,624363
638,1190,1505,99868,624407
639,2841,4283,100472,624418
640,2665,2009,100924,624534
641,938,5637,100879,624646
642,3958,5473,101370,625184
643,5578,2895,100917,625578
644,2870,1194,100440,627660
645,2868,5701,101912,628880
646,4495,4350,99650,631381
647,1365,5025,100052,631494
648,5210,4958,100311,631634
649,5744,3219,100114,631713
650,4629,5807,101665,635524
651,3919,1506,98781,638592
652,5730,982,100496,640897
653,5002,69,98706,641370
654,1414,5467,98952,642709
655,4814,4348,99761,643699
656,2193,1679,100985,644461
657,1459,3306,102415,644590
658,2376,1146,99372,644879
659,3216,3938,100430,645116
660,21,5243,100503,645231
661,4908,3265,101279,645751
662,1459,1471,100255,646724
663,4245,1391,99030,647556
664,3334,4692,98516,647847
665,5756,3900,101443,648139
666,3148,1427,99399,649817
667,696,4849,101975,649874
668,2709,3369,101718,651951
669,702,4221,102519,652424
670,5458,1702,99669,654291
671,2363,4926,99922,654411
672,225,936,99903,656970
673,2198,265,98295,657086
674,3717,1890,99392,661053
675,21,936,100950,661603
676,3711,4997,99673,662230
677,466,2949,100656,664057
678,3809,3311,101188,665156
679,5129,2722,100067,665622
680,3955,1629,99957,667173
681,1860,3620,98479,671143
682,2800,4836,101306,672437
683,5473,2484,101749,673610
684,5682,4018,99541,677101
685,1163,87,99524,677931
686,4609,5795,100224,684377
687,2633,2340,100867,685352
688,1132,2963,100242,685972
689,4292,3078,100520,686774
690,2644,3825,100178,686894
691,3440,908,100124,687761
692,5091,2893,101295,687839
693,1314,2556,100994,688221
694,2554,3801,100147,689438
695,1034,2824,100498,689697
696,80,939,100072,692064
697,1936,4847,100755,692800
698,1615,3923,100314,693360
699,4611,5101,99201,693790
700,5618,2567,98701,697737
701,3071,3864,99844,698526
702,2010,4793,97995,698861
703,1061,734,101988,700125
704,4092,1514,100405,700267
705,1773,4796,100920,701317
706,3883,2492,100538,701620
707,2040,2513,100038,702490
708,2867,3967,102167,704321
709,27,5225,101222,704889
710,5272,266,101761,708214
711,3163,3642,101170,709231
712,1917,4959,100674,709284
713,3874,808,100504,709451
714,1053,672,100409,709496
715,4623,1403,100034,711335
716,907,3771,101169,714208
717,5136,5199,99894,714375
718,1704,282,100124,714650
719,4172,1526,101047,714715
720,2690,4974,100906,716049
721,5611,4783,99855,717178
722,1105,1514,99811,717209
723,4449,5686,101211,718289
724,5257,3553,98462,718578
725,3689,1778,102539,718653
726,5778,5325,100310,719366
727,4956,2064,100455,723511
728,4822,4181,101605,723739
729,1098,402,99035,723974
730,3596,680,99663,724111
731,1628,5754,100273,724800
732,4456,5825,98258,725558
733,209,4079,100004,726045
734,1796,1904,99698,726380
735,1399,4617,102151,727701
736,4812,2165,100924,727965
737,3609,3771,99668,728151
738,177,341,98544,728706
739,1077,4451,98781,729821
740,1936,4775,100221,730505
741,3806,4951,100464,730873
742,3578,585,100474,731079
743,5456,4464,98553,733093
744,3240,3945,100506,733352
745,1438,1048,98876,733479
746,5113,3731,99702,733732
747,5340,196,100219,736363
748,1391,1308,101720,736513
749,4341,2265,99322,737018
750,2840,1575,98574,737126
751,3244,4640,99890,737798
752,1633,3177,98982,738914
753,2141,3109,98929,738952
754,2817,3849,100062,740171
755,1989,1357,101063,744256
756,3160,167,102076,744548
757,3761,1118,99961,745536
758,5896,3936,99606,745869
759,3927,4808,101366,748769
760,1674,1656,100633,749313
761,3503,3620,101083,755984
762,5148,5822,99453,756254
763,1622,5559,99381,758946
764,1831,3238,100355,759080
765,1132,3804,99320,761793
766,4404,5956,102612,763420
767,5961,2384,99583,764181
768,3897,2620,99543,764509
769,5538,2710,100938,764732
770,5237,1604,98982,765625
771,5630,4909,100309,765887
772,15,5774,98453,766711
773,1356,4407,98383,766938
774,1679,2441,99045,767627
775,4023,3964,99974,767759
776,3726,1089,100516,768318
777,1763,29,98837,768453
778,1923,3776,99661,769398
779,2585,3003,99729,770324
780,3923,3245,100607,770329
781,5813,4414,99932,770348
782,4191,3476,100081,770822
783,2734,4180,99303,771950
784,1176,5456,97911,772920
785,5944,4505,99376,773193
786,3751,2448,98754,774301
787,5093,1222,100679,775152
788,1034,5843,101786,775355
789,4312,3833,101393,775522
790,4654,1365,98387,780073
791,5799,3094,99970,780093
792,4501,4150,101818,780543
793,2203,2938,98644,783810
794,2363,3876,99929,784430
795,3682,1648,100114,784512
796,175,3774,102021,784858
797,1497,3468,100450,786766
798,2644,3994,99428,787039
799,2037,5997,99566,787472
800,5650,1298,99437,788160
801,1413,4931,101823,788964
802,4237,5021,98293,790367
803,2588,5525,99945,791070
804,3170,4478,99108,791699
805,4848,5376,99732,792287
806,4391,5746,100745,793219
807,2615,178,99711,793593
808,29,1243,98774,795635
809,4074,3285,100264,796128
810,3698,1256,99374,796584
811,2182,3453,98947,796862
812,1967,3851,99143,797278
813,1608,285,99104,798565
814,1164,15,97405,799573
815,1644,5286,100928,799613
816,1844,2863,100826,799944
817,3514,2213,99896,800037
818,2484,4247,100533,800421
819,313,732,100488,800573
820,3026,2835,99774,801944
821,4917,2748,100610,802809
822,3771,4457,100645,803546
823,5023,4278,98084,804277
824,75,4294,99528,805870
825,3171,5585,102175,807827
826,797,5055,99525,808575
827,2507,4527,100490,810125
828,5130,302,100258,812082
829,802,5543,98303,815370
830,504,1671,100529,816144
831,3798,3255,101022,817268
832,208,5832,101095,818153
833,322,3854,99669,818610
834,3059,2549,99848,819443
835,1311,3982,97646,820275
836,5838,3444,100297,820713
837,4011,3925,100795,824482
838,5309,1500,100832,824596
839,1985,1148,99485,828143
840,5129,1514,99625,829119
841,160,2450,99402,830471
842,4473,1056,99005,830979
843,5067,2265,101228,831708
844,518,3646,101497,831723
845,5744,5904,100199,831900
846,2306,5850,100090,833093
847,4004,5440,98911,838779
848,4603,1114,99723,841930
849,3828,4218,100146,844075
850,5589,1526,100993,845550
851,1086,3433,100570,846478
852,880,5150,98852,846805
853,4988,5500,98931,847742
854,1716,5170,101322,848557
855,4280,3444,100769,851092
856,2086,4420,98080,852997
857,294,3464,102134,854876
858,1671,5364,102754,855846
859,3947,801,99760,856035
860,681,5417,101068,856059
861,4404,3761,99492,856383
862,1507,2448,98648,856506
863,4711,1624,100416,856712
864,2272,3775,99201,857314
865,3726,5591,98338,857515
866,3692,3824,98755,857720
867,5181,3037,101314,858338
868,580,3443,101237,858364
869,5749,42,99530,860528
870,5559,1613,101694,860605
871,2267,5173,100057,860685
872,1915,4227,100002,863469
873,5030,1561,98875,863513
874,3536,943,101181,864395
875,3491,974,99401,864422
876,4572,5626,99862,864731
877,5457,4141,99563,866084
878,1726,2469,99750,866533
879,4379,4847,99178,867148
880,3833,5280,100420,869098
881,345,3877,98749,869948
882,4477,1085,99067,870610
883,5192,5330,99302,873799
884,5792,4865,99788,874051
885,18,4844,99819,874671
886,3923,767,100931,876019
887,4685,2777,100815,876556
888,1496,4440,99387,877024
889,3025,4544,100792,880847
890,1571,1286,99755,881792
891,3603,3284,99364,883139
892,609,1471,99411,883231
893,2756,5201,100046,885601
894,4254,3825,98856,886802
895,3295,2372,100592,886908
896,4723,264,99714,887290
897,3162,2065,97854,887384
898,3403,1200,98830,887609
899,3562,2501,99899,890231
900,2094,4213,98668,890429
901,4994,409,102922,893783
902,3578,3789,99447,894120
903,5682,4989,100173,894463
904,3412,571,101257,894894
905,3282,5760,100133,896094
906,3920,4682,96841,897134
907,2109,3635,99207,897914
908,2010,4381,99681,898050
909,60,2180,98587,899748
910,5090,4509,98924,900005
911,2129,2451,102004,900804
912,394,3648,99731,901989
913,5267,4518,101372,904041
914,5280,1538,99186,906533
915,3223,905,98450,906774
916,3283,1193,100846,907947
917,1745,345,100190,908172
918,5829,2751,100157,910485
919,3801,767,99030,912275
920,434,2847,97749,914416
921,710,3193,101364,915211
922,1131,674,99626,915418
923,5391,328,98236,916988
924,3333,2393,99350,917099
925,53,2344,100018,918261
926,2091,3515,100210,919821
927,2817,5171,99200,921161
928,3453,1524,99776,921176
929,3985,635,99063,921502
930,2414,3113,100952,921602
931,2633,713,99312,922277
932,5710,5937,100115,923652
933,5235,1550,99638,923696
934,917,812,101857,925106
935,5430,4377,99017,925523
936,2877,2349,100399,927345
937,1458,1921,100462,929917
938,1637,2072,101535,930130
939,1391,5087,100004,930225
940,3166,465,100915,930942
941,2867,11,98994,931244
942,1705,4932,100250,931981
943,2501,4735,99857,932038
944,3566,5163,99684,932179
945,4306,4398,101562,934462
946,1077,4502,101479,935363
947,4766,752,100508,935460
948,3723,5449,101564,936668
949,5720,5929,101212,936793
950,5191,4152,99344,937855
951,2206,5557,101931,938599
952,1820,4359,100266,939031
953,4584,1936,100756,939944
954,962,5664,99129,942856
955,1500,2305,99057,945710
956,2815,3716,100315,947559
957,1114,4971,99242,948707
958,6005,2945,100119,949380
959,4093,4744,101280,949652
960,2931,2877,99608,950671
961,5083,4449,101780,951261
962,3776,3658,99672,951629
963,3257,3525,99733,952340
964,3987,3389,100396,952550
965,3861,5425,98968,952621
966,5664,5356,98464,954182
967,4511,3091,101056,954310
968,1967,4798,100384,954552
969,4956,197,99303,955286
970,5258,4081,99991,956503
971,2385,5520,98578,956659
972,127,2814,98923,957031
973,1441,2837,100378,959173
974,2245,1881,99676,960468
975,5636,5731,99690,962404
976,5628,5577,102730,963432
977,1215,4424,100389,963916
978,2379,5858,100172,965615
979,3552,4309,100708,965933
980,5883,3935,100065,966191
981,3727,4300,100764,967086
982,3622,2072,99158,967500
983,4487,2970,99655,967650
984,3275,2005,98951,967898
985,4800,2914,99270,968861
986,212,2954,100385,968915
987,1461,5347,99945,968939
988,5581,1190,100433,969018
989,4201,1473,99288,969352
990,4508,4475,99415,969915
991,3789,5244,100198,973771
992,619,703,99997,974994
993,5477,5880,100824,976191
994,4592,4100,100450,977778
995,2367,240,99063,978068
996,4176,2011,100284,979190
997,3774,1058,100645,979414
998,5425,3918,100209,979735
999,1981,4434,101041,980724
1000,3473,5377,100080,981260
1001,3797,827,100668,983347
1002,4591,4850,102789,983951
1003,4635,587,98061,984296
1004,724,4295,99494,985083
1005,806,1365,99231,986273
1006,1563,2677,99653,986763
1007,5535,1787,101204,987002
1008,210,2978,100567,989863
1009,4186,4821,99949,991039
1010,1398,5901,99647,993180
1011,566,1428,98891,995038
1012,198,5166,100418,996333
1013,5887,534,99231,997186
1014,5695,3382,99588,997276
1015,2159,3571,98887,998011
1016,3081,2949,99706,998199
1017,5628,67,100724,1001343
