id,open_edges
17,35-167-283-719-721-8207-8289-8905-9155-12525-12527-12529-12531-12559-12641-12643-13015-13017-13019-13021-13023-13029-13031-13033-13035-13037-13039-13041-13043-13045-13047-13049-13051-13053-13055-13057-13059-13063-13065-13069-13071-13073-13077-13079-13087-13089-13091-13169-13227-13583-13607-13683-13971-14055-14095-14229-14267-14313-14527-15003-15071-15101-15367-15497-15565-15815-16537-16615-17045-17277-17345-18199-18349-18415-18445-18509-18627-18763-18995-19546-19881-20581-20707-21653-22059-22135-22539-22547-22935-23023-23083-23095-23165-23197-23549-23895-23995-24403-24701-25621-25647-25733-26339-26369-26417-26641-26657-27149-27507-28207-28567-29099-29221-29273-29561-30413-30593-31223-31317-32189-32191-32625-32937-33667-34081-34088-34437-34857-35501-36437-36495-36779-36807-36821-38545-38589-38847-39055-39751-40113-40115-40117-40119-40121-40251-40257-40485-40577-40613-40649-40653-40799-40839-40843-40857-40909-41109-41253-41361-41487-41949-42725-42989-43541-43761-44111-44433-45177-45289-45415-45527-45805-46497-46914-47115-47599-48527-48584-48595-48597-48599-48649-48907-49137-49143-49861-51365-51751-52551-52681-52973-53285-53445-53599-53619-54013-54373-54825-55055-55155-55177-55325-55373-55457-57799-57928-58489-58491-58493-58563-58577-58604-58727-58916-59005-59237
18,37
19,39-796-1486-2667-9013-9047-14503-14742-24931-26969-49076-49078-56375
20,40-1840-4044-4700-5098-5100-6636-13436-14670-15820-17080-18862-20344-20438-20846-20848-21306-21334-21336-21339-21342-21345-21347-21462-22858-23295-24911-25230-25743-25788-26280-30655-49336-60266
21,41-82-103-1819-3029-7354-13964-18353-18653-19172-19179-21868-22089-28932-28935-29911-30425-30609-30749-33327-43345-46153-52327-56005
22,42-57-96-456-623-1606-2417-3551-6433-7367-8995-9465-9674-10790-10885-10887-10920-10929-11497-12247-12307-14211-15202-16142-18279-18635-21586-23134-24173-24189-25564-26348-26574-27268-31143-31518-32837-42122-43763-46995-49177-49817-51483-55038-58007-59464
23,43
24,45-66-72-106-149-176-186-197-209-341-346-359-378-389-390-464-495-532-568-636-680-722-824-905-916-1096-1132-1192-1839-2094-2106-2313-2346-2430-2496-2674-2826-2853-2969-3040-3122-3339-3346-3984-4201-4270-4770-5114-6202-6300-6412-7089-7195-7196-7326-7347-8080-8126-8164-8168-8190-8272-8366-8486-8676-9398-9440-10798-11274-12029-16835-18220-19046-19180-19220-23312-24942-25720-27757-31581-35726-36660-49973-53852
25,47-55
26,48-970-1162-2419-2627-3076-4386-5506-6464-7386-7482-8687-10895-13179-13194-14163-14951-15524-18446-18597-23002-23007-23052-23451-24197-24397-24710-28266-31996-36662-44015-44155-60244
27,50-54-218-764-2090-2555-2714-3034-3256-3326-3414-3618-3660-3986-4713-6182-6461-8282-8714-12639-26420-27278-28418-28462-31520-32883-33393-37219-38012-44846-48606-50090-52622-52672-56355
28,51
29,52
30,56-1608
31,59-1246-1290-1862-2996-3154-4779-4926-6255-7716
32,61-63-65-67-69
33,68-77-80-92-182-232-331-348-351-385-452-490-552-704-885-960-1092-1118-1148-2278-2611-2824-3084-3782-4269-4568-4636-4752-4867-6064-6261-7931-8504-8927-9113-9389-10378-10408-10426-10965-11265-11494-11808-12504-12864-13641-14576-14904-14970-17522-18350-19926-20911-22077-23946-24016-24726-24790-25334-25410-25929-26426-26507-27006-27372-30736-31047-36668-38062-38378-39269-42676-42696-43084-45178-45188-47571-47745-48246-48253-49213-51392-55396-55521-56161-56169-56221-57104-60268
34,71-3394-3397-5120-5317-5609-5899-7317-8594-9448-10893-12945-16967-22499-28719-34184-40521-58761
35,73
36,74-6466-6723
37,76
38,78
39,81-95-97-107-109-651-653-771-1987-1989-19817-19819-19821-19822-19825-19827-19828-19831-19839
40,83-85-89-93-105-119-127-199-239-240-334-376-440-450-476-521-557-591-679-841-933-967-1099-1585-1837-2231-2260-2421-2437-2821-3135-3187-3239-3313-3621-3993-4586-4741-5359-5975-6205-6250-18225-18599-21373-21404-21861-23073-24969-30049-36721-39021-43095-45478-46317-53675-58561-58895-59404-60255
41,84-2057-2085-2649-4428-6804-10708-10897-12558-18209-21667
42,86
43,87-94-408-512-826-1785-2041-2814-2845-3233-3369-4694-5625-8434-11715-12485-12637-13028-13407-18267-18643-21050-21895-24659-31039-31040-31665-32541-39732-42439-42821-44145-44599-44802-46997-46999-47000-48321-56127
44,88
45,91-165-181-469
46,98-108-112-114-142-144-146-150-164-180-192-258-261-297-310-313-317-319-321-324-340-350-354-361-394-406-436-468-480-514-538-602-606-654-712-772-821-834-842-880-884-888-896-926-928-958-964-1012-1074-1130-1168-1668-1672-1872-2002-2048-2152-2177-2192-2322-2386-2501-2562-2638-2677-2792-2980-3213-3240-3476-3664-3696-3700-3788-3806-3860-3876-3878-3933-4066-4212-4336-4370-4478-4640-4658-4744-4872-4874-4876-4933-4970-5023-5032-5396-5494-5574-5590-5618-5706-5734-6007-6090-6171-6444-6622-6740-6842-7115-7202-7234-7358-7430-7446-7544-7575-7668-7782-7858-7897-7924-7946-8100-8161-8628-8723-9080-9124-9142-9148-9188-9340-9344-9430-10524-10594-10600-10618-10827-10886-10900-10923-10936-10955-10966-11005-11200-11258-11312-11352-11392-11523-11560-11630-11698-11728-11858-11910-11913-12026-12136-12226-12292-12309-12544-12550-12684-12746-12828-13014-13108-13142-13178-13208-13215-13282-13416-14082-14166-14328-14364-14406-14459-14470-14492-14653-14870-14940-15088-15466-15520-15708-15990-16016-16070-16203-16238-16241-16280-16294-16586-16608-16658-17246-17373-17380-17503-17508-17525-17639-17651-17766-17802-17805-18112-18295-18305-18307-18315-18369-18428-18784-18801-18802-18804-18806-18808-18810-18818-18820-18822-18830-18837-18879-18920-18924-19120-19156-19260-19292-19306-19332-19354-19362-19428-19646-19688-19724-19737-19862-19883-19920-20026-20030-20159-20372-20383-20422-20588-20590-20614-20662-20664-20678-20686-20764-20812-20916-20924-20940-20942-20956-20962-20966-20968-21134-21138-21208-21277-21305-21377-21390-21436-21470-21502-21520-21614-21666-21694-21708-21788-21823-21842-21896-21906-21910-21964-21992-22004-22164-22178-22180-22274-22362-22390-22398-22530-22690-22696-22713-22776-22946-23024-23062-23079-23160-23292-23294-23322-23328-23415-23438-23476-23744-23760-23772-23900-24026-24069-24187-24264-24278-24398-24432-24516-24524-24550-24600-24606-24610-24655-24678-24680-24784-24954-24976-25009-25032-25114-25140-25202-25272-25278-25310-25474-25476-25489-25500-25502-25575-25580-25582-25586-25706-25749-25760-25833-25848-25994-26110-26160-26248-26296-26362-26466-26584-26594-26660-26670-26734-26762-26792-26822-26847-26926-27161-27298-27325-27390-27405-27454-27456-27458-27510-27524-27706-27784-27820-27900-27920-27922-28048-28062-28074-28094-28392-28395-28424-28428-28450-28492-28584-28590-28612-28668-28734-28738-28817-29142-29244-29304-29362-29386-29568-29592-29604-29606-29708-29761-29806-29840-29938-29950-30186-30260-30318-30340-30408-30424-30452-30486-30496-30586-30605-30710-30886-30924-30944-30965-30966-31014-31022-31053-31084-31233-31280-31312-31352-31387-31402-31410-31444-31452-31501-31508-31718-31814-31836-31838-31851-31890-31934-31958-31988-32110-32272-32295-32298-32302-32317-32322-32325-32328-32336-32341-32388-32404-32447-32453-32532-32544-32581-32588-32592-32656-32664-32686-32688-32697-32738-32765-32812-32898-32929-33010-33084-33104-33106-33158-33198-33411-33488-33506-33530-33628-33638-33682-33694-33726-34031-34054-34060-34090-34120-34156-34169-34240-34322-34372-34410-34492-34529-34653-34661-34730-34996-34998-35038-35120-35140-35242-35330-35358-35380-35388-35402-35428-35437-35552-35710-35744-35786-35812-35820-35866-35890-35916-36010-36110-36162-36196-36250-36294-36300-36390-36468-36530-36738-36786-36886-36960-36994-37018-37080-37084-37122-37124-37192-37251-37306-37352-37372-37380-37394-37406-37444-37476-37512-37518-37534-37650-37660-37666-37726-37766-37769-37776-37810-37812-37821-37826-37998-38156-38160-38276-38288-38388-38392-38406-38448-38514-38526-38532-38554-38704-38734-38738-38748-38794-38810-38842-38884-38896-38932-38972-39008-39020-39030-39186-39222-39276-39278-39280-39324-39330-39332-39356-39382-39386-39408-39444-39510-39556-39596-39618-39640-39730-39850-39872-39916-39933-39964-39968-40012-40100-40512-40603-40604-40742-40770-40774-40792-40867-40878-41018-41172-41199-41240-41272-41304-41325-41354-41440-41460-41552-41572-41577-41740-41743-41794-41900-41914-42106-42240-42336-42379-42424-42428-42458-42486-42576-42652-42661-42777-42890-42976-43158-43258-43402-43578-43649-43686-43746-43752-43806-43850-43993-44012-44082-44246-44540-44552-44617-44618-44676-44678-44868-45060-45096-45252-45260-45290-45512-45566-45689-45690-45778-45798-45822-45962-46286-46288-46546-46664-46670-46682-46686-46742-46760-46780-46874-46957-47048-47326-47378-47426-47458-47572-47575-47576-47578-47580-47582-47584-47586-47588-47590-47593-47778-47786-47814-47880-47948-48022-48058-48068-48088-48219-48432-48452-48672-48674-48808-48970-49100-49104-49130-49304-49350-49402-49674-49683-49708-49726-49744-49798-49824-49876-49896-49920-50006-50218-50328-50600-50640-50658-50862-50864-50872-50929-50944-50992-51156-51220-51274-51279-51290-51317-51334-51540-51604-51704-51770-51910-52085-52203-52294-52468-52766-52774-52800-52842-53112-53150-53524-53616-53668-53959-54122-54175-54316-54456-54458-54464-54554-54564-54690-54852-54940-54968-55028-55092-55108-55237-55274-55620-55654-55668-55684-55856-55954-56085-56102-56108-56166-56224-56398-57044-57082-57258-57260-57264-57308-57347-57358-57489-57586-57620-57670-57688-57768-57860-57870-57990-58052-58152-58319-58448-58616-58962-58994-59030-59048-59219-59510-59554-59656-59934-59940-59998-60040-60288-60485-60586-60677-60730-60736-60756-60776-60778
47,100
48,102-471-2011-2228-5564-6062-6991-8169-9422-12413-12417-12424-14288-16380-16510-17715-21847-22304-22576-22954-23426-25234-25642-26304-28688-28690-29381-29382-29870-29984-32728-34094-34720-34731-34753-36074-36846-36907-41710-41760-41766-42256-42769-42835-43166-44863-49184-51114-53950-54945-55208-57955-60473
49,104-193-223-397-508-610-1576-1975-2080-3488-3491-3529-3680-3740-4524-4674-5058-9195-9381-9994-11460-12097-13066-13068-15224-16959-17028-18668-21498-22032-22034-24640-25698-26025-37244-44866-44880-44978-49688-53120-55688-57304
50,110-1044-1088-2391-7638-9126-11951-12252-12261-12738-13036-13067-13414-14957-15685-16127-16442-18575-18602-19518-19741-20627-25081-35385-37147-39453-40058-40061-40063-40064-40066-40068-40071-40072-40484-40486-40488-40883-40889-41384-41389-42841-42959-46015-46217-46219-48006-56881-60312-60451
51,113-115-143-145-151-17292
52,117-11396-12763-13382-26148-26930-33711-35043-48717
53,118
54,120-122-124-136-138-140-156-158-160-162-178-185-189-190-194-198-210-220-224-230-260-278-280-288-294-314-330-352-356-362-386-388-392-398-400-404-412-430-460-462-488-492-496-498-502-524-536-541-550-560-570-572-578-582-600-604-626-640-644-666-686-688-690-726-728-732-738-752-758-760-766-770-778-785-788-794-802-809-832-847-854-856-864-870-872-890-898-940-950-952-962-990-998-1006-1008-1022-1058-1061-1104-1140-1152-1498-1632-1650-1656-1852-1897-1908-1916-1933-1938-1951-1958-1966-1968-1984-2038-2040-2058-2092-2112-2140-2162-2170-2194-2232-2238-2242-2252-2256-2264-2318-2360-2368-2460-2478-2494-2516-2572-2591-2602-2606-2620-2640-2670-2690-2706-2776-2800-2834-2890-2908-2916-2932-2934-2940-2942-2990-3063-3064-3124-3128-3224-3228-3252-3258-3284-3288-3296-3308-3316-3320-3408-3418-3422-3438-3486-3496-3500-3514-3522-3526-3532-3557-3564-3566-3568-3576-3578-3592-3600-3614-3688-3694-3726-3752-3961-3968-3978-3988-4020-4040-4090-4104-4106-4114-4122-4162-4168-4182-4194-4210-4236-4242-4260-4284-4302-4332-4338-4356-4362-4364-4410-4462-4472-4475-4526-4630-4634-4642-4704-4710-4723-4732-4736-4754-4788-4790-4822-4854-4860-4865-4894-4916-4920-4944-4960-4986-4988-4992-4994-5000-5026-5056-5086-5106-5140-5186-5240-5346-5364-5394-5410-5502-5518-5524-5558-5580-5602-5672-6150-6220-6226-6246-6306-6326-6328-6348-6406-6442-6478-6530-6592-6614-6638-6646-6759-6782-6979-7012-7080-7130-7140-7188-7208-7212-7232-7298-7314-7318-7324-7378-7448-7474-7510-7512-7580-7584-7592-7642-7658-7660-7692-7704-7740-7790-7798-7802-7838-7850-7868-7872-7880-7950-7978-8144-8218-8222-8492-8498-8502-8518-8528-8538-8632-8634-8640-8662-8702-8742-8746-8754-8760-8790-8802-8838-8856-8862-9152-9198-9226-9256-9270-9284-9366-9442-9452-10382-10384-10685-10828-10872-10916-10968-10982-11006-11008-11028-11053-11096-11112-11188-11196-11226-11248-11266-11270-11292-11318-11333-11436-11483-11496-11498-11500-11504-11542-11566-11618-11620-11628-11746-11782-11810-11840-11894-11896-11898-11972-11979-12010-12022-12030-12110-12129-12130-12142-12160-12194-12271-12286-12340-12374-12446-12451-12458-12462-12470-12501-12542-12590-12599-12602-12700-12718-12732-12762-12782-12806-12912-12962-13006-13061-13084-13180-13228-13270-13290-13454-13673-13818-13996-14150-14216-14219-14234-14256-14310-14318-14380-14404-14414-14440-14466-14476-14532-14688-14728-14732-14850-15012-15086-15097-15104-15158-15238-15300-15306-15312-15324-15512-15554-15658-15858-15896-15934-15963-15964-16032-16048-16084-16102-16130-16186-16212-16220-16224-16226-16260-16278-16348-16696-16714-16716-16768-16836-16906-16928-16952-17016-17020-17068-17076-17162-17258-17296-17316-17430-17468-17618-17682-17694-17711-17840-18128-18204-18230-18264-18526-18530-18546-18714-18728-18796-18856-19016-19074-19078-19208-19256-19468-19608-19617-19628-19636-19664-19702-19748-19768-19790-19916-19935-19938-20032-20064-20188-20286-20432-20644-20646-20684-20832-20864-20878-20895-20896-20982-21064-21122-21148-21402-21512-21516-21612-21618-21672-21688-21810-21924-21936-21958-22020-22094-22182-22214-22266-22284-22300-22342-22392-22410-22520-22556-22618-22646-22748-22976-22996-23084-23106-23118-23190-23342-23440-23572-23576-23762-23872-23976-24028-24106-24125-24270-24322-24347-24352-24424-24637-24670-24686-24782-24948-24958-25002-25108-25176-25319-25338-25340-25462-25506-25522-25536-25540-25546-25612-25618-25634-25676-25690-25924-25944-25992-26044-26096-26164-26226-26242-26354-26392-26474-26482-26494-26518-26550-26770-26818-26832-26868-26932-27042-27080-27104-27128-27132-27134-27188-27248-27262-27352-27452-27528-27560-27602-27646-27704-27764-27770-27860-28028-28046-28148-28150-28326-28328-28376-28507-28846-28879-29156-29296-29340-29348-29403-29406-29484-29502-29532-29616-29628-29652-29688-29732-29740-29904-29918-29976-30042-30140-30164-30258-30317-30388-30438-30468-30480-30526-30590-30624-30744-30764-30766-30852-30870-30918-30940-30942-30988-31122-31166-31214-31236-31244-31282-31286-31322-31392-31592-31604-31806-31812-31826-31888-32406-32412-32428-32574-32618-32642-32678-32770-32962-33348-33438-33480-33516-33634-33644-33738-33740-33860-33864-34160-34166-34178-34338-34368-34458-34534-34540-34552-34598-34714-34716-34784-34892-35010-35052-35068-35124-35320-35378-35390-35412-35626-35696-35758-35764-35806-35810-35842-35920-35930-36004-36048-36148-36160-36260-36272-36288-36376-36378-36380-36518-36520-36740-36904-36912-36956-37005-37028-37280-37298-37314-37610-37786-37830-37860-37886-37890-37922-37950-37964-37986-38007-38060-38074-38076-38082-38126-38140-38162-38326-38374-38380-38390-38446-38576-38720-38760-38792-38818-38834-38980-39014-39100-39256-39304-39348-39366-39460-39506-39564-39602-39770-40094-40160-40231-40258-40340-40390-40394-40494-40516-40564-40719-40730-40758-40782-40790-40874-41282-41321-41345-41540-41634-41638-41916-41928-41946-41976-41992-42108-42352-42476-42622-42628-42982-43162-43196-43206-43534-43554-43618-43730-43774-44244-44326-44370-44388-44396-44518-44568-44628-44668-44690-44806-45054-45076-45088-45124-45138-45242-45274-45330-45332-45356-45406-45412-45536-45570-45594-45662-45678-45702-45720-45730-45786-46202-46208-46230-46280-46426-46454-46470-46472-46732-46878-47182-47292-47368-47648-47662-47700-47704-47768-47772-47980-48086-48492-48544-48590-48622-48696-48788-48820-48832-48912-48980-49084-49090-49098-49141-49194-49242-49266-49326-49640-49702-49836-49892-49980-50104-50280-50316-50322-50496-50570-50638-50650-50652-50736-50758-50880-50986-51356-51694-51728-51734-51816-52014-52020-52338-52414-52454-52546-52570-52728-53436-53494-53594-53620-53742-53760-53792-53920-54138-54242-54308-54546-54548-54680-54698-54706-54882-55036-55256-55369-55924-55970-55996-56070-56076-56079-56112-56236-56266-56732-56814-56831-56972-56982-57022-57040-57166-57180-57276-57416-57490-57506-57522-57610-57720-58148-58628-58718-58788-58816-58884-58934-59014-59256-59298-59534-59810-59812-60039-60504-60670-60718-60794-60800-60864
55,121
56,123-154
57,125
